raw,replace_repo,replace_branchs
mi-dev-integral-rel4,rel4-integral,mi_dev->master:feature/microkit:gh-pages:croak/remove_seL4_kernel_deps
rel4_kernel,rel4_kernel,fpga_test:fpga_test2:mi_dev->master:module_dev:smp_dev
sel4_task,sel4_task,main->ldh_main:mi_dev->master:gh-pages
sel4_ipc,sel4_ipc,main->ldh_main:mi_dev->master:gh-pages
sel4_cspace,sel4_cspace,main->ldh_main:mi_dev->master:gh-pages
sel4_common,sel4_common,main->ldh_main:mi_dev->master:gh-pages
seL4_c_impl,seL4_c_impl,master->ldh_main:mi_dev->master:baseline:cwh_dev:ctrlz_dev:batch_syscall_dev:upstream:microkit
build-scripts,build-scripts,mi_dev->master
mi-dev-repo,rel4-dev-repo,main
sel4test,sel4test,upstream:main->ldh_main:test_dev:upstream-mi-dev->master
rust_sel4_pbf_parser,rust_sel4_pbf_parser,main->binary:mi_dev->master
sel4_vspace,sel4_vspace,mi_dev->master:main->ldh_main:test-case
sel4test-manifest,sel4test-manifest,ci-test->master
seL4-tools,seL4-tools,master:upstream
serial-impl-sbi,serial-impl-sbi,mi_dev->master
serial-impl-pl011,serial-impl-pl011,mi_dev->master
serial-frame,serial-frame,mi_dev->master
driver-collect,driver-collect,mi_dev->master
opensbi,opensbi,v1.0
